option_id,option_type,name,source_content,source_section,location,prerequisite_or_condition,related_property_or_role,flags,route_treatment,citations,notes
NPCOPT-000210,animal_follower_candidate,"Riekling , Riekling Hunter , Riekling Scout or Riekling Warrior",base_game,Followers - Creatures,,,Follower eligibility,max level=23,option_list,SN-000068-follower-pet-mount-options.md,Source-listed permanent follower option; recruitment timing/default use deferred.
NPCOPT-000211,animal_follower_candidate,Steadfast Dwarven Sphere,base_game,Followers - Creatures,,,Follower eligibility,max level=30,option_list,SN-000068-follower-pet-mount-options.md,Source-listed permanent follower option; recruitment timing/default use deferred.
NPCOPT-000212,animal_follower_candidate,Steadfast Dwarven Spider,base_game,Followers - Creatures,,,Follower eligibility,,option_list,SN-000068-follower-pet-mount-options.md,Source-listed permanent follower option; recruitment timing/default use deferred.
NPCOPT-000213,permanent_follower_candidate,Hand Ethra Mavandas CC,ae_creation,Followers - Creation Club,,Ashen Heart,Follower eligibility,blades=Yes | moral=3 | max level=100,option_list,SN-000068-follower-pet-mount-options.md,Source-listed permanent follower option; recruitment timing/default use deferred.
NPCOPT-000214,permanent_follower_candidate,Hand Kydren Indobar CC,ae_creation,Followers - Creation Club,,Ashen Heart,Follower eligibility,blades=Yes | moral=3 | max level=100,option_list,SN-000068-follower-pet-mount-options.md,Source-listed permanent follower option; recruitment timing/default use deferred.
NPCOPT-000215,permanent_follower_candidate,Rulnik Wind-Strider CC,ae_creation,Followers - Creation Club,,A Dying Wish,Follower eligibility,marry=Yes | blades=Yes | steward hf=Yes | moral=3 | max level=75,option_list,SN-000068-follower-pet-mount-options.md,Source-listed permanent follower option; recruitment timing/default use deferred.
NPCOPT-000216,permanent_follower_candidate,Vesparth the Toe CC,ae_creation,Followers - Creation Club,,Ashen Heart,Follower eligibility,blades=Yes | steward hf=Yes | moral=3 | max level=100,option_list,SN-000068-follower-pet-mount-options.md,Source-listed permanent follower option; recruitment timing/default use deferred.
NPCOPT-000217,permanent_follower_candidate,Watchman Sindras CC,ae_creation,Followers - Creation Club,,Ashen Heart,Follower eligibility,blades=Yes | moral=3 | max level=100,option_list,SN-000068-follower-pet-mount-options.md,Source-listed permanent follower option; recruitment timing/default use deferred.
NPCOPT-000218,animal_follower_candidate,Arachnia CC,ae_creation,Followers - Creation Club,,Can be found in Cronvangr Cave with the Pets of Skyrim Creation.,Follower eligibility,max level=1,option_list,SN-000068-follower-pet-mount-options.md,Source-listed permanent follower option; recruitment timing/default use deferred.
NPCOPT-000219,animal_follower_candidate,Bone Wolf CC,ae_creation,Followers - Creation Club,,Can be found at a camp northwest of Folgunthur with the Bone Wolf Creation. It can be tamed with a Totem Bone .,Follower eligibility,,option_list,SN-000068-follower-pet-mount-options.md,Source-listed permanent follower option; recruitment timing/default use deferred.
NPCOPT-000220,animal_follower_candidate,Demented Elytra Nymph CC,ae_creation,Followers - Creation Club,,Can be found at the Seducers Bandit camp northwest of Windhelm with the Saints & Seducers Creation.,Follower eligibility,,option_list,SN-000068-follower-pet-mount-options.md,Source-listed permanent follower option; recruitment timing/default use deferred.
NPCOPT-000221,animal_follower_candidate,Dwarven Armored Mudcrab CC,ae_creation,Followers - Creation Club,,Can be purchased from Calcelmo in the Understone Keep in Markarth with Dwarven Armored Mudcrab Creation.,Follower eligibility,max level=5,option_list,SN-000068-follower-pet-mount-options.md,Source-listed permanent follower option; recruitment timing/default use deferred.
NPCOPT-000222,animal_follower_candidate,Hilda CC,ae_creation,Followers - Creation Club,,Can be purchased from Halvar in Rorikstead with the Pets of Skyrim Creation.,Follower eligibility,max level=1,option_list,SN-000068-follower-pet-mount-options.md,Source-listed permanent follower option; recruitment timing/default use deferred.
NPCOPT-000223,animal_follower_candidate,Manic Elytra Nymph CC,ae_creation,Followers - Creation Club,,Can be found at the Saints Bandit camp just west of North Brittleshin Pass entrance with the Saints & Seducers Creation.,Follower eligibility,,option_list,SN-000068-follower-pet-mount-options.md,Source-listed permanent follower option; recruitment timing/default use deferred.
NPCOPT-000224,animal_follower_candidate,Nix-Hound CC,ae_creation,Followers - Creation Club,,Can be found purchased from Revus Sarvani or Geldis Sadri with the Nix-Hound Creation.,Follower eligibility,,option_list,SN-000068-follower-pet-mount-options.md,Source-listed permanent follower option; recruitment timing/default use deferred.
NPCOPT-000225,animal_follower_candidate,Skritch CC,ae_creation,Followers - Creation Club,,Can be found in The Ratway below Riften with the Pets of Skyrim Creation.,Follower eligibility,max level=1,option_list,SN-000068-follower-pet-mount-options.md,Source-listed permanent follower option; recruitment timing/default use deferred.
NPCOPT-000226,animal_follower_candidate,Sweet Roll CC,ae_creation,Followers - Creation Club,,Can be found in a forest southwest of Half-Moon Mill with the Pets of Skyrim Creation. It can be tamed with a Sweet Roll .,Follower eligibility,max level=2,option_list,SN-000068-follower-pet-mount-options.md,Source-listed permanent follower option; recruitment timing/default use deferred.
NPCOPT-000227,animal_follower_candidate,Thistle CC,ae_creation,Followers - Creation Club,,Can be found at the Alchemist's Shack with the Pets of Skyrim Creation. It can be tamed with a Carrot .,Follower eligibility,max level=1,option_list,SN-000068-follower-pet-mount-options.md,Source-listed permanent follower option; recruitment timing/default use deferred.
NPCOPT-000228,animal_follower_candidate,Gogh CC,ae_creation,Followers - Creation Club,,"Can be found in the Gromm's Pass with the Goblins Creation. If the Blue God is slain and he is freed from the pit, he can be recruited as a follower.",Follower eligibility,max level=6,option_list,SN-000068-follower-pet-mount-options.md,Source-listed permanent follower option; recruitment timing/default use deferred.
NPCOPT-000229,stable_horse_purchase,Markarth Stable Horse,base_game,Purchasable Horses,Markarth Stables,Purchase from Cedran ( Banning ),Horse mount,color=Piebald,option_list,SN-000068-follower-pet-mount-options.md,Source-listed purchasable horse option; stable purchase/default mount policy deferred.
NPCOPT-000230,stable_horse_purchase,Riften Stable Horse,base_game,Purchasable Horses,Riften Stables,Purchase from Hofgrir Horse-Crusher,Horse mount,color=Dapple Grey,option_list,SN-000068-follower-pet-mount-options.md,Source-listed purchasable horse option; stable purchase/default mount policy deferred.
NPCOPT-000231,stable_horse_purchase,Solitude Stable Horse,base_game,Purchasable Horses,Solitude Stables,Purchase from Geimund ( Horm ),Horse mount,color=Palomino,option_list,SN-000068-follower-pet-mount-options.md,Source-listed purchasable horse option; stable purchase/default mount policy deferred.
NPCOPT-000232,stable_horse_purchase,Whiterun Stable Horse,base_game,Purchasable Horses,Whiterun Stables,Purchase from Skulvar Sable-Hilt ( Jervar ),Horse mount,color=Black,option_list,SN-000068-follower-pet-mount-options.md,Source-listed purchasable horse option; stable purchase/default mount policy deferred.
NPCOPT-000233,stable_horse_purchase,Windhelm Stable Horse,base_game,Purchasable Horses,Windhelm Stables,Purchase from Ulundil ( Arivanya ),Horse mount,color=Bay,option_list,SN-000068-follower-pet-mount-options.md,Source-listed purchasable horse option; stable purchase/default mount policy deferred.
NPCOPT-000234,stable_horse_purchase,Heljarchen Hall HF Stable Horse,hearthfire,Purchasable Horses,Heljarchen Hall HF,Purchase from Personal Steward HF,Horse mount,color=Black,option_list,SN-000068-follower-pet-mount-options.md,Source-listed purchasable horse option; stable purchase/default mount policy deferred.
NPCOPT-000235,stable_horse_purchase,Lakeview Manor HF Stable Horse,hearthfire,Purchasable Horses,Lakeview Manor HF,Purchase from Personal Steward HF,Horse mount,color=Palomino,option_list,SN-000068-follower-pet-mount-options.md,Source-listed purchasable horse option; stable purchase/default mount policy deferred.
NPCOPT-000236,stable_horse_purchase,Windstad Manor HF Stable Horse,hearthfire,Purchasable Horses,Windstad Manor HF,Purchase from Personal Steward HF,Horse mount,color=Dapple Grey,option_list,SN-000068-follower-pet-mount-options.md,Source-listed purchasable horse option; stable purchase/default mount policy deferred.
NPCOPT-000237,stable_horse_purchase,Goldenhills Plantation CC Stable Horse,ae_creation,Purchasable Horses,Goldenhills Plantation CC,Purchase from Personal Steward HF,Horse mount,color=random,option_list,SN-000068-follower-pet-mount-options.md,Source-listed purchasable horse option; stable purchase/default mount policy deferred.
NPCOPT-000238,unique_mount,Frost,base_game,Unique Horses,Black-Briar Lodge,Promises to Keep outcome,Horse mount,,option_list,SN-000068-follower-pet-mount-options.md,Unique horse; ownership route and Louis Letrush outcome deferred.
NPCOPT-000239,unique_mount,Shadowmere,base_game,Unique Horses,Dark Brotherhood questline,The Cure for Madness,Horse mount,,option_list,SN-000068-follower-pet-mount-options.md,Unique horse reward; Dark Brotherhood route timing deferred.
NPCOPT-000240,unique_mount,Arvak,dawnguard,Unique Horses,Soul Cairn and summoned,Soul Cairn horse quest,Horse mount,,option_list,SN-000068-follower-pet-mount-options.md,Summonable Dawnguard mount; Soul Cairn sweep timing deferred.
